loan_id,customer_id,loan_amount,repayment_history,loan_status,repayment_rank
2306,335,246089,10,Closed,77
2664,988,244500,10,Approved,78
1138,52,240832,10,Closed,79
822,493,235928,10,Approved,80
2562,786,231925,10,Closed,81
2950,222,231692,10,Approved,82
534,567,231537,10,Approved,83
154,643,226157,10,Closed,84
494,767,222840,10,Approved,85
1079,143,222403,10,Approved,86
1895,531,212540,10,Closed,87
622,671,210461,10,Closed,88
454,11,206552,10,Approved,89
2109,371,206359,10,Approved,90
2846,278,202194,10,Closed,91
1467,52,202143,10,Approved,92
1294,756,201070,10,Closed,93
333,646,199090,10,Approved,94
1134,988,197922,10,Closed,95
325,543,194380,10,Approved,96
338,183,190835,10,Closed,97
1354,538,189581,10,Approved,98
263,485,186758,10,Approved,99
1874,975,169808,10,Closed,100
2611,447,165489,10,Closed,101
422,614,163040,10,Closed,102
1821,990,160937,10,Approved,103
103,868,159138,10,Approved,104
2501,483,151085,10,Closed,105
2065,775,148136,10,Approved,106
2993,668,140973,10,Approved,107
1269,889,138555,10,Approved,108
2530,578,133023,10,Approved,109
1400,171,126781,10,Closed,110
2945,882,121977,10,Approved,111
2972,909,118370,10,Closed,112
1832,918,116394,10,Closed,113
749,729,115635,10,Closed,114
1507,707,113794,10,Approved,115
2732,213,111117,10,Closed,116
2859,755,110949,10,Closed,117
896,825,101297,10,Approved,118
895,423,96353,10,Approved,119
1773,922,95844,10,Approved,120
2804,726,93701,10,Closed,121
722,533,92790,10,Closed,122
2123,885,89079,10,Approved,123
2478,824,82981,10,Approved,124
2165,439,82907,10,Closed,125
2307,507,82009,10,Approved,126
2290,63,77100,10,Closed,127
81,584,74694,10,Closed,128
2289,872,63671,10,Approved,129
302,962,53573,10,Closed,130
1496,578,52670,10,Closed,131
681,822,47249,10,Closed,132
1215,682,47105,10,Approved,133
1531,42,45578,10,Approved,134
2855,171,42663,10,Closed,135
2300,633,42533,10,Approved,136
737,508,41673,10,Approved,137
2841,744,39850,10,Approved,138
1149,469,36763,10,Approved,139
2122,52,35527,10,Approved,140
2093,775,33650,10,Closed,141
808,710,31941,10,Approved,142
21,701,27941,10,Approved,143
1481,220,25933,10,Closed,144
128,871,24525,10,Approved,145
2329,971,12164,10,Closed,146
2019,10,8605,10,Approved,147
575,679,8231,10,Approved,148
1668,408,499266,9,Approved,149
1071,279,495381,9,Approved,150
2110,721,494494,9,Approved,151
210,866,491203,9,Closed,152
774,484,480026,9,Approved,153
2167,266,468284,9,Approved,154
2711,50,467207,9,Closed,155
2060,31,466370,9,Closed,156
944,320,458019,9,Approved,157
1737,65,453813,9,Approved,158
2298,507,450852,9,Closed,159
1928,232,449254,9,Approved,160
2173,412,449087,9,Closed,161
743,855,444731,9,Approved,162
54,279,439398,9,Closed,163
2397,962,439108,9,Closed,164
988,754,438363,9,Approved,165
1853,751,437273,9,Closed,166
2716,539,436612,9,Approved,167
806,742,434368,9,Closed,168
1664,751,430774,9,Approved,169
2003,833,429329,9,Approved,170
2810,543,426573,9,Approved,171
2684,311,423971,9,Approved,172
972,364,416100,9,Approved,173
530,165,415656,9,Closed,174
1922,929,408535,9,Approved,175
488,476,407917,9,Approved,176
2481,371,403667,9,Approved,177
2953,559,403403,9,Closed,178
1927,673,399873,9,Approved,179
1834,37,397247,9,Approved,180
2587,857,396436,9,Closed,181
619,207,393207,9,Closed,182
1145,493,392370,9,Closed,183
725,929,392338,9,Approved,184
1906,453,389004,9,Approved,185
265,271,385207,9,Approved,186
2770,810,381994,9,Closed,187
259,981,378148,9,Approved,188
1273,980,370448,9,Approved,189
2245,728,370113,9,Closed,190
2046,253,369184,9,Approved,191
1944,381,368893,9,Closed,192
1574,232,362201,9,Closed,193
2976,527,361543,9,Approved,194
1986,411,357598,9,Closed,195
657,993,355065,9,Approved,196
1855,343,349674,9,Approved,197
554,743,348885,9,Closed,198
4,352,348100,9,Closed,199
1141,56,344884,9,Closed,200
1084,382,343335,9,Closed,201
1296,677,341144,9,Approved,202
1743,426,334208,9,Approved,203
63,847,333825,9,Approved,204
1934,195,329779,9,Closed,205
2823,641,325018,9,Approved,206
1900,87,322745,9,Approved,207
572,375,321652,9,Closed,208
2243,79,320749,9,Closed,209
2403,175,320690,9,Closed,210
1499,303,319499,9,Approved,211
855,205,317748,9,Approved,212
1456,323,307753,9,Approved,213
2070,908,306164,9,Closed,214
1005,610,301601,9,Closed,215
1168,955,291430,9,Closed,216
985,458,289928,9,Approved,217
25,830,289037,9,Approved,218
74,525,281533,9,Closed,219
35,406,273681,9,Closed,220
391,590,271244,9,Approved,221
1104,912,270874,9,Approved,222
545,780,267353,9,Closed,223
2763,468,266613,9,Closed,224
342,210,265956,9,Closed,225
6,274,260273,9,Closed,226
2551,229,259539,9,Approved,227
1917,858,257558,9,Closed,228
2630,519,254643,9,Approved,229
2908,30,250312,9,Approved,230
319,26,242606,9,Approved,231
2009,661,230468,9,Closed,232
2612,719,228097,9,Closed,233
1492,619,226623,9,Closed,234
1351,412,226313,9,Approved,235
408,638,222564,9,Closed,236
1599,228,220137,9,Approved,237
222,69,212399,9,Closed,238
1826,484,211521,9,Closed,239
450,984,207748,9,Closed,240
1073,984,207412,9,Closed,241
1588,823,204205,9,Approved,242
1161,253,201758,9,Closed,243
682,232,200228,9,Approved,244
2383,313,200071,9,Closed,245
1438,666,190351,9,Approved,246
231,43,185689,9,Approved,247
2824,11,185327,9,Closed,248
1167,633,183022,9,Closed,249
2726,568,181825,9,Closed,250
2554,540,179626,9,Closed,251
1717,937,176069,9,Approved,252
2414,602,175268,9,Closed,253
13,29,174410,9,Closed,254
2425,641,173701,9,Closed,255
2718,110,171155,9,Approved,256
973,213,171049,9,Closed,257
1052,416,170889,9,Approved,258
1843,668,169680,9,Approved,259
1417,126,167051,9,Approved,260
2666,207,166835,9,Approved,261
2598,340,166006,9,Approved,262
1929,925,165895,9,Approved,263
17,280,163967,9,Approved,264
793,358,160957,9,Approved,265
656,400,155658,9,Approved,266
503,271,152766,9,Closed,267
951,483,151100,9,Closed,268
564,902,149135,9,Closed,269
2808,379,148238,9,Closed,270
926,64,147250,9,Approved,271
2382,948,144627,9,Closed,272
1898,976,143874,9,Approved,273
2660,470,143751,9,Closed,274
190,901,143529,9,Approved,275
762,209,140359,9,Approved,276
2257,263,131860,9,Approved,277
1662,426,130372,9,Closed,278
859,199,130181,9,Closed,279
2066,584,130181,9,Approved,279
2240,828,129480,9,Approved,281
521,181,126764,9,Approved,282
2464,17,122199,9,Closed,283
1338,186,120566,9,Closed,284
442,511,117431,9,Closed,285
1999,562,115983,9,Closed,286
5,650,114287,9,Approved,287
209,297,112661,9,Closed,288
2634,615,106496,9,Closed,289
2486,256,106227,9,Approved,290
1831,606,104157,9,Closed,291
495,817,102471,9,Approved,292
2025,892,99771,9,Closed,293
1101,646,97970,9,Approved,294
510,679,96254,9,Closed,295
2700,719,92298,9,Approved,296
205,339,91925,9,Closed,297
1577,656,91543,9,Approved,298
1198,55,87579,9,Closed,299
1059,464,81350,9,Closed,300
1721,832,78872,9,Closed,301
2140,366,76462,9,Closed,302
2137,422,67819,9,Closed,303
2982,442,67189,9,Closed,304
611,557,61566,9,Closed,305
891,507,56039,9,Closed,306
2138,477,55742,9,Closed,307
1537,728,55321,9,Approved,308
1529,146,47041,9,Closed,309
1987,79,43576,9,Approved,310
1665,686,39947,9,Approved,311
437,444,37050,9,Approved,312
626,6,34823,9,Approved,313
1651,36,29034,9,Approved,314
2061,738,22641,9,Approved,315
911,880,16226,9,Approved,316
1429,474,14977,9,Approved,317
809,460,11539,9,Closed,318
1557,927,7846,9,Closed,319
1339,639,7039,9,Closed,320
328,632,6280,9,Approved,321
1628,786,496552,8,Closed,322
2904,582,493851,8,Approved,323
354,780,490948,8,Closed,324
1112,943,490626,8,Closed,325
2868,138,490499,8,Approved,326
436,542,486833,8,Approved,327
1,525,481952,8,Closed,328
171,140,472137,8,Approved,329
1098,876,470475,8,Closed,330
2929,363,468925,8,Approved,331
2402,14,464942,8,Closed,332
2339,278,461052,8,Closed,333
1170,264,460480,8,Approved,334
841,511,457765,8,Closed,335
1110,637,457269,8,Approved,336
612,213,455271,8,Closed,337
1980,188,454689,8,Closed,338
291,49,454618,8,Approved,339
2704,983,450290,8,Approved,340
1745,46,449691,8,Approved,341
2372,710,445121,8,Closed,342
2696,273,440126,8,Closed,343
2366,235,439538,8,Closed,344
2077,114,433193,8,Approved,345
1738,325,431409,8,Approved,346
2063,654,431025,8,Closed,347
31,509,428189,8,Closed,348
2514,858,426467,8,Approved,349
294,673,424538,8,Approved,350
467,647,423223,8,Closed,351
1029,655,420224,8,Closed,352
984,18,418403,8,Closed,353
2731,443,417419,8,Approved,354
220,58,417239,8,Closed,355
1925,81,413509,8,Closed,356
1327,662,412210,8,Approved,357
1099,311,411812,8,Closed,358
435,265,409408,8,Closed,359
2633,867,404346,8,Closed,360
1521,574,403051,8,Closed,361
2378,755,398676,8,Approved,362
2133,135,397372,8,Closed,363
880,353,393713,8,Approved,364
2419,907,385860,8,Approved,365
367,188,385752,8,Closed,366
1174,405,383295,8,Closed,367
1729,556,381033,8,Closed,368
716,522,380002,8,Approved,369
2106,104,375368,8,Closed,370
941,439,372119,8,Approved,371
2379,285,370516,8,Approved,372
1535,363,369828,8,Closed,373
897,452,366563,8,Closed,374
862,879,357250,8,Approved,375
138,920,349215,8,Approved,376
2532,335,348122,8,Approved,377
2782,259,347809,8,Closed,378
2795,611,345479,8,Closed,379
188,65,344099,8,Closed,380
1938,420,341673,8,Approved,381
2928,471,341277,8,Approved,382
1797,766,340698,8,Closed,383
2717,444,340586,8,Closed,384
2461,352,338443,8,Closed,385
1133,645,331327,8,Approved,386
1525,156,326011,8,Closed,387
194,350,298882,8,Approved,388
700,616,290909,8,Closed,389
89,186,285987,8,Closed,390
189,525,283559,8,Closed,391
660,630,278968,8,Closed,392
2676,706,267399,8,Approved,393
56,173,265064,8,Closed,394
2309,967,261420,8,Closed,395
388,468,259079,8,Closed,396
1904,790,258577,8,Approved,397
769,953,256423,8,Closed,398
2987,161,251447,8,Approved,399
419,437,245915,8,Closed,400
1742,748,245812,8,Approved,401
2894,465,244581,8,Approved,402
1812,899,243080,8,Approved,403
555,224,238084,8,Approved,404
258,406,235502,8,Approved,405
1822,816,233720,8,Approved,406
1350,277,225519,8,Approved,407
949,356,223288,8,Closed,408
2189,500,212926,8,Closed,409
881,812,212896,8,Approved,410
1154,138,211894,8,Closed,411
50,378,201059,8,Closed,412
2958,518,200769,8,Approved,413
2565,697,197839,8,Approved,414
573,128,196963,8,Approved,415
1425,906,192903,8,Closed,416
2965,917,188257,8,Approved,417
2948,578,182773,8,Approved,418
2305,231,179275,8,Closed,419
278,288,178251,8,Approved,420
2813,985,174764,8,Approved,421
883,106,169544,8,Closed,422
1391,857,167254,8,Closed,423
648,807,156134,8,Approved,424
203,205,150455,8,Closed,425
2835,320,146867,8,Approved,426
1846,893,142531,8,Closed,427
1891,163,136294,8,Approved,428
202,465,133168,8,Closed,429
1923,652,130674,8,Closed,430
1543,621,129697,8,Approved,431
2667,492,122926,8,Closed,432
1178,858,122549,8,Closed,433
314,126,120399,8,Closed,434
2600,744,118280,8,Closed,435
2058,485,117245,8,Approved,436
2516,750,117140,8,Closed,437
2644,56,116512,8,Closed,438
1152,528,107314,8,Approved,439
2323,147,105685,8,Closed,440
2233,626,103736,8,Approved,441
2084,715,96552,8,Approved,442
1611,481,96518,8,Approved,443
2235,239,89123,8,Approved,444
2880,727,83694,8,Closed,445
894,464,71484,8,Closed,446
576,25,69806,8,Closed,447
1062,548,68849,8,Closed,448
1072,265,68206,8,Closed,449
1422,346,68119,8,Approved,450
2941,154,65319,8,Approved,451
2473,527,55853,8,Approved,452
1220,427,55707,8,Closed,453
207,218,55395,8,Closed,454
1982,209,55046,8,Closed,455
1288,203,53688,8,Approved,456
2429,233,50114,8,Approved,457
2599,598,50085,8,Approved,458
685,959,49839,8,Closed,459
772,528,49177,8,Approved,460
2888,731,48938,8,Closed,461
820,803,48757,8,Closed,462
2421,589,44175,8,Approved,463
1877,227,43629,8,Closed,464
1649,15,36824,8,Approved,465
497,94,31563,8,Closed,466
1399,787,31181,8,Approved,467
2670,128,30578,8,Approved,468
508,62,29994,8,Closed,469
1437,296,29491,8,Approved,470
542,409,28008,8,Approved,471
1468,167,25727,8,Approved,472
2343,194,25514,8,Approved,473
2652,50,18313,8,Approved,474
1487,826,17265,8,Approved,475
2450,585,12860,8,Approved,476
2584,295,11518,8,Approved,477
535,636,9641,8,Approved,478
1552,759,6834,8,Closed,479
1774,553,499243,7,Closed,480
2762,561,494592,7,Closed,481
960,616,490609,7,Approved,482
2208,827,490305,7,Approved,483
1707,567,488917,7,Approved,484
2572,286,488058,7,Closed,485
1706,422,486425,7,Closed,486
336,21,485934,7,Approved,487
1231,121,481701,7,Closed,488
147,37,477611,7,Approved,489
2417,795,474773,7,Approved,490
2641,228,472891,7,Approved,491
866,869,471311,7,Closed,492
2829,491,468641,7,Approved,493
1367,411,465392,7,Approved,494
34,379,458116,7,Closed,495
1933,136,457861,7,Approved,496
1629,386,457475,7,Approved,497
2171,401,454095,7,Approved,498
456,571,453024,7,Closed,499
1092,61,452828,7,Approved,500
1911,996,450762,7,Approved,501
888,788,447055,7,Approved,502
2891,994,445142,7,Closed,503
1780,778,444543,7,Closed,504
1859,41,442348,7,Approved,505
2906,647,441797,7,Approved,506
765,966,440913,7,Approved,507
2571,763,432586,7,Approved,508
2991,145,431757,7,Closed,509
1114,238,426912,7,Closed,510
2642,365,420334,7,Closed,511
2701,690,418339,7,Closed,512
2030,116,415109,7,Approved,513
2877,741,409065,7,Closed,514
2961,907,402211,7,Closed,515
2864,43,401673,7,Approved,516
2045,21,399622,7,Closed,517
77,98,394189,7,Approved,518
80,102,388843,7,Closed,519
1932,680,387103,7,Approved,520
2573,71,384495,7,Closed,521
2386,844,376794,7,Closed,522
1901,527,369848,7,Approved,523
889,552,365729,7,Closed,524
2356,110,356725,7,Approved,525
2263,960,351539,7,Approved,526
2935,237,351375,7,Closed,527
1065,230,348094,7,Approved,528
2280,699,348045,7,Approved,529
920,394,341740,7,Closed,530
2068,485,331138,7,Approved,531
75,528,330361,7,Approved,532
78,101,329642,7,Closed,533
410,540,327158,7,Approved,534
1648,347,325403,7,Approved,535
2371,116,325269,7,Closed,536
843,336,324931,7,Closed,537
1360,859,315670,7,Approved,538
901,860,309029,7,Closed,539
2989,657,307211,7,Closed,540
136,379,307011,7,Approved,541
1740,204,305084,7,Approved,542
1805,301,303970,7,Approved,543
2276,575,303281,7,Approved,544
795,745,301745,7,Closed,545
1746,847,298520,7,Closed,546
2209,629,294263,7,Closed,547
1277,317,291127,7,Closed,548
1035,751,283477,7,Approved,549
1566,510,277872,7,Approved,550
811,90,275541,7,Approved,551
992,30,274874,7,Approved,552
2802,148,272049,7,Approved,553
2267,680,271133,7,Approved,554
1514,875,268719,7,Approved,555
365,110,266307,7,Approved,556
461,643,259048,7,Closed,557
1756,904,254543,7,Closed,558
2610,164,253534,7,Closed,559
933,269,250565,7,Closed,560
16,958,242399,7,Approved,561
2856,89,241201,7,Approved,562
1872,299,237597,7,Approved,563
2014,611,236493,7,Closed,564
2128,370,234793,7,Approved,565
1631,44,232737,7,Closed,566
2625,860,227687,7,Closed,567
95,611,226879,7,Closed,568
1961,183,226854,7,Closed,569
1038,130,224622,7,Approved,570
2939,523,215937,7,Approved,571
1943,578,215839,7,Closed,572
1978,952,215467,7,Approved,573
1394,644,212913,7,Closed,574
856,923,210209,7,Closed,575
893,937,197631,7,Closed,576
2295,674,193365,7,Closed,577
1051,347,189663,7,Approved,578
1688,553,189543,7,Closed,579
101,751,187100,7,Closed,580
1186,952,184494,7,Approved,581
792,802,179750,7,Closed,582
2675,769,176666,7,Closed,583
2287,955,169087,7,Approved,584
2506,235,168065,7,Closed,585
2224,576,165989,7,Approved,586
1346,422,162756,7,Closed,587
845,664,146514,7,Approved,588
2761,219,144509,7,Approved,589
2048,51,142130,7,Approved,590
707,679,139082,7,Closed,591
1918,429,135851,7,Closed,592
1080,537,135595,7,Closed,593
1647,746,134932,7,Approved,594
120,214,133435,7,Approved,595
936,766,129805,7,Approved,596
2515,60,128805,7,Approved,597
2620,594,120837,7,Approved,598
1644,409,118764,7,Approved,599
1809,811,113413,7,Closed,600
2776,181,110833,7,Approved,601
2568,794,108993,7,Closed,602
848,476,106811,7,Closed,603
2733,843,104404,7,Closed,604
1118,354,104291,7,Approved,605
2389,588,104084,7,Closed,606
1482,339,100712,7,Approved,607
1790,526,100472,7,Approved,608
671,726,90658,7,Approved,609
2078,610,88584,7,Closed,610
996,46,87487,7,Approved,611
280,702,83667,7,Approved,612
1463,289,82208,7,Closed,613
2013,437,81590,7,Approved,614
1282,459,80291,7,Closed,615
2282,791,79785,7,Closed,616
2026,467,77497,7,Closed,617
2827,183,73927,7,Approved,618
2226,170,72289,7,Closed,619
69,250,70961,7,Closed,620
185,853,69268,7,Closed,621
2591,2,59765,7,Closed,622
1302,961,56828,7,Approved,623
228,92,56652,7,Approved,624
1383,312,43631,7,Approved,625
183,285,42176,7,Closed,626
2236,746,37401,7,Closed,627
1686,843,36753,7,Approved,628
2239,763,35252,7,Approved,629
1827,36,34990,7,Approved,630
117,858,34193,7,Closed,631
2553,616,33789,7,Approved,632
73,299,30924,7,Closed,633
2636,710,30422,7,Approved,634
589,679,25189,7,Approved,635
1591,317,18583,7,Closed,636
2713,974,16453,7,Approved,637
2645,336,16303,7,Closed,638
569,912,15129,7,Approved,639
324,939,12928,7,Closed,640
1132,502,499127,6,Approved,641
2191,476,496986,6,Approved,642
397,897,493506,6,Approved,643
234,349,479609,6,Closed,644
854,608,478437,6,Approved,645
2635,303,477104,6,Approved,646
2822,982,475051,6,Approved,647
2435,251,473745,6,Approved,648
1461,881,470047,6,Approved,649
1941,967,466753,6,Approved,650
1171,395,465822,6,Closed,651
1656,75,459917,6,Approved,652
526,483,456823,6,Closed,653
1800,118,453477,6,Approved,654
2375,630,450814,6,Approved,655
1245,556,450756,6,Closed,656
1584,887,447943,6,Approved,657
396,610,439994,6,Approved,658
448,209,438862,6,Closed,659
587,857,436560,6,Closed,660
1255,636,432959,6,Closed,661
1419,267,425278,6,Approved,662
1736,111,420513,6,Approved,663
562,245,415184,6,Approved,664
870,662,413312,6,Approved,665
1958,128,411667,6,Approved,666
871,511,410617,6,Closed,667
2946,565,409879,6,Approved,668
1841,308,407952,6,Closed,669
1652,70,406277,6,Closed,670
732,506,405993,6,Closed,671
2578,184,401419,6,Approved,672
850,976,397719,6,Approved,673
479,914,397651,6,Approved,674
504,504,396425,6,Approved,675
2581,731,394363,6,Closed,676
275,350,390869,6,Closed,677
2274,197,386251,6,Approved,678
1498,543,383956,6,Approved,679
952,241,383617,6,Closed,680
1633,298,382307,6,Approved,681
2260,794,380643,6,Closed,682
368,518,374510,6,Approved,683
1713,354,373043,6,Approved,684
96,957,371849,6,Closed,685
1504,59,371688,6,Closed,686
2867,468,367111,6,Approved,687
2318,283,350487,6,Closed,688
2624,497,343874,6,Closed,689
959,533,338353,6,Closed,690
1796,952,336024,6,Closed,691
590,852,330930,6,Approved,692
2895,979,328286,6,Closed,693
2254,622,327393,6,Approved,694
798,442,321010,6,Approved,695
2729,339,318768,6,Closed,696
2346,943,317289,6,Approved,697
1067,855,315760,6,Approved,698
1505,972,313699,6,Approved,699
1613,17,308020,6,Approved,700
2727,757,307617,6,Approved,701
170,81,303358,6,Approved,702
1643,992,302825,6,Approved,703
1049,809,302770,6,Approved,704
276,966,302182,6,Approved,705
1276,555,298844,6,Closed,706
1151,907,297295,6,Approved,707
2893,707,285789,6,Approved,708
577,988,281006,6,Closed,709
2039,729,279875,6,Closed,710
358,28,264144,6,Closed,711
2212,442,262439,6,Closed,712
652,103,260404,6,Closed,713
910,753,257663,6,Approved,714
2955,488,256962,6,Closed,715
2319,76,256166,6,Closed,716
2331,764,252497,6,Approved,717
1769,389,246479,6,Closed,718
2538,160,240251,6,Approved,719
2688,912,240037,6,Closed,720
256,565,236341,6,Closed,721
2020,894,230733,6,Approved,722
1015,346,229245,6,Approved,723
2585,726,225964,6,Approved,724
2201,855,219548,6,Approved,725
2136,991,216569,6,Closed,726
10,535,199991,6,Approved,727
694,610,195888,6,Approved,728
1393,622,195554,6,Closed,729
1614,284,193997,6,Approved,730
1661,539,191835,6,Closed,731
2316,305,187905,6,Approved,732
1418,807,185978,6,Approved,733
1008,252,184345,6,Approved,734
2034,696,183078,6,Approved,735
1851,13,175657,6,Approved,736
515,354,169325,6,Closed,737
216,595,163767,6,Closed,738
281,585,161389,6,Closed,739
2683,690,156033,6,Approved,740
1368,413,143822,6,Approved,741
2085,816,140294,6,Approved,742
2327,144,136654,6,Approved,743
235,201,125478,6,Approved,744
27,135,122005,6,Closed,745
2444,144,103005,6,Approved,746
270,662,99625,6,Closed,747
2558,780,99201,6,Approved,748
62,560,87333,6,Closed,749
155,287,84951,6,Approved,750
739,218,84327,6,Closed,751
2335,77,76137,6,Approved,752
167,924,74086,6,Approved,753
778,420,72533,6,Closed,754
2615,834,70977,6,Approved,755
2230,826,61024,6,Closed,756
2431,494,59510,6,Approved,757
912,242,58805,6,Approved,758
1166,224,54217,6,Approved,759
373,104,52302,6,Closed,760
2742,129,51722,6,Approved,761
1066,911,41834,6,Closed,762
1861,450,41613,6,Closed,763
750,486,39810,6,Closed,764
1802,694,39275,6,Approved,765
2480,853,36529,6,Closed,766
1503,279,36521,6,Approved,767
1448,206,26793,6,Closed,768
2168,453,23900,6,Closed,769
2932,535,23696,6,Approved,770
121,665,21122,6,Approved,771
518,366,19092,6,Approved,772
2112,326,17029,6,Approved,773
838,160,16506,6,Approved,774
1340,128,14200,6,Approved,775
2288,81,8318,6,Approved,776
578,620,7593,6,Approved,777
764,413,491322,5,Closed,778
661,243,489980,5,Closed,779
512,36,489649,5,Closed,780
1787,940,485824,5,Closed,781
1089,157,484684,5,Closed,782
2163,563,477626,5,Closed,783
1969,539,473920,5,Approved,784
1704,246,469994,5,Closed,785
332,534,468694,5,Closed,786
1653,560,467899,5,Approved,787
370,835,461741,5,Closed,788
2703,323,457432,5,Approved,789
2734,720,453429,5,Closed,790
33,539,446126,5,Closed,791
2432,80,434648,5,Closed,792
1549,514,433628,5,Approved,793
840,126,433401,5,Closed,794
551,744,415394,5,Closed,795
1234,105,414877,5,Approved,796
1444,467,414024,5,Closed,797
956,893,411728,5,Closed,798
2793,471,397859,5,Closed,799
686,979,387892,5,Approved,800
1568,971,386853,5,Approved,801
2104,705,386402,5,Approved,802
2556,566,386320,5,Approved,803
1870,359,384897,5,Approved,804
1398,550,384626,5,Approved,805
2977,563,383538,5,Approved,806
1973,704,372163,5,Closed,807
2705,241,371847,5,Approved,808
2744,45,368629,5,Approved,809
1806,701,365807,5,Closed,810
1724,266,365567,5,Closed,811
2310,964,360610,5,Closed,812
2256,574,360213,5,Closed,813
934,211,360097,5,Closed,814
983,717,350536,5,Approved,815
961,621,345947,5,Closed,816
776,932,337766,5,Closed,817
2909,443,332265,5,Approved,818
2837,575,326421,5,Closed,819
517,184,322594,5,Approved,820
1032,849,322116,5,Approved,821
677,952,318769,5,Approved,822
2527,739,316729,5,Approved,823
1553,876,313766,5,Approved,824
2268,108,308503,5,Closed,825
2973,424,300922,5,Closed,826
2340,147,300722,5,Closed,827
1650,826,300027,5,Approved,828
602,270,298609,5,Approved,829
2749,542,297147,5,Closed,830
1764,543,296709,5,Closed,831
967,218,295384,5,Closed,832
957,267,293699,5,Approved,833
1554,482,292911,5,Approved,834
152,234,287877,5,Closed,835
22,749,286362,5,Approved,836
2791,428,278302,5,Closed,837
2184,487,276853,5,Approved,838
2120,502,276552,5,Approved,839
1447,609,272069,5,Approved,840
1914,355,266987,5,Closed,841
452,715,265237,5,Closed,842
2746,164,260696,5,Approved,843
2689,269,253439,5,Approved,844
1043,1000,253010,5,Closed,845
618,748,251807,5,Closed,846
2424,616,249912,5,Closed,847
1702,336,247446,5,Closed,848
1373,275,246311,5,Approved,849
289,693,243325,5,Approved,850
552,476,243157,5,Closed,851
337,860,242189,5,Closed,852
1586,628,242102,5,Approved,853
2175,111,239055,5,Approved,854
2800,820,232436,5,Approved,855
1680,722,230898,5,Approved,856
680,531,228184,5,Closed,857
1175,431,223462,5,Closed,858
2439,614,215985,5,Closed,859
1542,790,213295,5,Approved,860
2492,432,210568,5,Closed,861
1992,384,210457,5,Approved,862
2369,310,206008,5,Approved,863
982,251,202692,5,Approved,864
2341,940,201369,5,Approved,865
2522,628,199063,5,Closed,866
2606,732,197213,5,Approved,867
768,876,195824,5,Approved,868
1683,895,192269,5,Closed,869
1047,222,189469,5,Approved,870
2805,985,189006,5,Approved,871
37,104,186720,5,Approved,872
1795,974,182109,5,Closed,873
791,115,173617,5,Approved,874
1155,46,171917,5,Closed,875
1926,912,167839,5,Closed,876
2956,732,165137,5,Approved,877
905,859,153214,5,Closed,878
2952,239,149568,5,Approved,879
1317,658,140703,5,Approved,880
477,303,134194,5,Closed,881
1684,600,133241,5,Approved,882
829,78,132163,5,Closed,883
1287,476,130753,5,Closed,884
610,783,127261,5,Approved,885
172,729,121331,5,Approved,886
928,551,120274,5,Closed,887
2931,998,117578,5,Closed,888
1640,788,116874,5,Approved,889
