loan_id,customer_id,loan_amount,early_repayments_count,total_early_repayments,early_repayment_percentage
1203,677,358513,1,45897,12.8020
1680,722,230898,1,45878,19.8694
2756,782,239037,1,45799,19.1598
585,472,419558,1,45756,10.9058
2834,767,259487,1,45695,17.6097
2778,796,428639,1,45547,10.6260
1521,574,403051,1,45538,11.2983
2447,954,31782,1,45440,142.9740
2990,318,53922,1,45386,84.1697
981,645,318320,1,45264,14.2197
1083,754,323111,1,45223,13.9961
2322,196,100341,1,45151,44.9976
1500,371,440055,1,45075,10.2430
897,452,366563,1,45059,12.2923
2027,405,198385,1,44751,22.5577
574,914,417407,1,44597,10.6843
662,880,308475,1,44412,14.3973
503,271,152766,1,44314,29.0078
821,865,229806,1,44072,19.1779
328,632,6280,1,44032,701.1465
1561,278,292942,1,43987,15.0156
189,525,283559,1,43942,15.4966
1220,427,55707,1,43865,78.7423
1828,664,106292,1,43862,41.2656
2581,731,394363,1,43844,11.1177
2593,749,191853,1,43708,22.7820
1974,429,150145,1,43583,29.0273
327,336,420944,1,43481,10.3294
2295,674,193365,1,43457,22.4741
2727,757,307617,1,43442,14.1221
959,533,338353,1,43399,12.8265
1225,141,341535,1,43376,12.7003
2728,564,275003,1,43326,15.7547
169,800,422951,1,43290,10.2352
522,581,300842,1,43267,14.3820
1113,846,426793,1,43229,10.1288
2066,584,130181,1,43133,33.1331
1422,346,68119,1,43067,63.2232
2958,518,200769,1,43052,21.4435
1068,905,280013,1,43023,15.3646
1427,110,217557,1,42740,19.6454
1604,520,297237,1,42612,14.3360
2719,599,174417,1,42581,24.4133
406,407,52015,1,42566,81.8341
892,452,261279,1,42562,16.2899
1893,115,345763,1,42463,12.2810
490,923,264137,1,42418,16.0591
861,51,125285,1,42384,33.8301
1471,572,326503,1,42373,12.9778
1486,6,236209,1,42177,17.8558
2268,108,308503,1,42151,13.6631
2970,636,6627,1,42041,634.3896
432,85,67425,1,41998,62.2885
2964,786,288422,1,41980,14.5551
385,95,349262,1,41775,11.9609
2321,243,79447,1,41675,52.4564
2536,121,12062,1,41398,343.2101
457,114,281511,1,41380,14.6992
2199,556,329888,1,41280,12.5133
166,5,121586,1,41235,33.9143
1445,730,196615,1,41202,20.9557
2552,331,371293,1,41106,11.0710
1053,361,54907,1,41096,74.8466
2050,35,351473,1,41064,11.6834
2588,267,134533,1,40509,30.1108
1691,553,281677,1,40388,14.3384
2994,472,128785,1,40333,31.3181
2235,239,89123,1,40274,45.1892
2664,988,244500,1,40109,16.4045
311,467,47794,1,39876,83.4331
378,85,60428,1,39846,65.9396
108,921,255874,1,39817,15.5612
606,188,12463,1,39796,319.3132
1408,321,107419,1,39699,36.9571
193,412,112083,1,39679,35.4014
2347,33,197535,1,39464,19.9782
1050,844,302152,1,39350,13.0232
2418,228,159168,1,39251,24.6601
1293,128,121631,1,39211,32.2377
1104,912,270874,1,39174,14.4621
1051,347,189663,1,39096,20.6134
1872,299,237597,1,39048,16.4346
1946,469,341779,1,38755,11.3392
2476,125,312826,1,38708,12.3737
1985,219,173566,1,38476,22.1679
2743,498,79789,1,38377,48.0981
696,417,144894,1,38333,26.4559
2442,849,41911,1,38263,91.2958
805,891,259755,1,38156,14.6892
1645,382,6588,1,38078,577.9903
1489,578,12916,1,38020,294.3636
2037,127,150074,1,37995,25.3175
675,381,174060,1,37923,21.7873
1239,143,81274,1,37896,46.6275
191,547,99606,1,37610,37.7588
845,664,146514,1,37527,25.6133
796,569,213912,1,37353,17.4619
2796,881,151841,1,37260,24.5388
2923,455,182414,1,37190,20.3877
2033,398,72547,1,37168,51.2330
1281,294,210983,1,37073,17.5716
2042,77,292859,1,36995,12.6324
2907,228,65904,1,36828,55.8813
1983,494,356160,1,36730,10.3128
1576,842,55640,1,36619,65.8142
1299,759,307420,1,36608,11.9081
1963,807,245178,1,36552,14.9084
475,173,342703,1,36542,10.6629
342,210,265956,1,36507,13.7267
514,788,153865,1,36498,23.7208
1385,766,176866,1,36452,20.6100
2263,960,351539,1,36430,10.3630
1715,775,128738,1,36421,28.2908
2428,77,252713,1,36285,14.3582
636,383,277402,1,36230,13.0605
2835,320,146867,1,36226,24.6659
1555,318,103360,1,36202,35.0252
71,214,356163,1,36175,10.1569
2461,352,338443,1,35906,10.6092
1278,95,74785,1,35875,47.9708
833,292,128610,1,35851,27.8757
702,501,287290,1,35573,12.3823
391,590,271244,1,35522,13.0960
2304,357,170507,1,35487,20.8126
1448,206,26793,1,35468,132.3779
550,46,252978,1,35397,13.9921
735,663,264138,1,35364,13.3885
236,43,332705,1,35323,10.6169
1752,561,262998,1,35211,13.3883
2584,295,11518,1,35079,304.5581
82,399,162408,1,35071,21.5944
228,92,56652,1,34703,61.2564
2353,283,298094,1,34613,11.6114
2590,312,340823,1,34613,10.1557
2204,835,168412,1,34575,20.5300
2851,760,94231,1,34466,36.5761
1314,862,155606,1,34321,22.0563
1090,682,82307,1,34317,41.6939
2071,31,85515,1,34234,40.0327
955,389,54061,1,34205,63.2711
2288,81,8318,1,34175,410.8560
532,132,70794,1,33769,47.7004
813,753,326715,1,33667,10.3047
51,700,148578,1,33580,22.6009
1869,417,143377,1,33507,23.3699
2706,223,284997,1,33401,11.7198
1560,473,314874,1,33283,10.5703
1640,788,116874,1,32788,28.0541
1746,847,298520,1,32659,10.9403
2090,568,136735,1,32656,23.8827
663,16,46602,1,32467,69.6687
664,604,152023,1,32362,21.2876
2444,144,103005,1,32314,31.3713
2622,87,286776,1,32299,11.2628
1750,449,97272,1,32113,33.0136
1516,687,188531,1,32089,17.0205
315,426,217084,1,31950,14.7178
2582,729,13054,1,31753,243.2435
1454,746,118934,1,31529,26.5097
835,372,307419,1,31409,10.2170
970,26,205973,1,31376,15.2331
369,451,274136,1,31265,11.4049
2595,111,240222,1,31207,12.9909
746,50,105721,1,30970,29.2941
1052,416,170889,1,30959,18.1164
2057,177,302818,1,30753,10.1556
1269,889,138555,1,30692,22.1515
1238,743,146395,1,30408,20.7712
1320,681,291728,1,30334,10.3980
672,173,210709,1,30246,14.3544
2100,506,142983,1,30202,21.1228
2344,109,226048,1,30101,13.3162
2519,452,146773,1,30062,20.4820
1967,543,58009,1,29978,51.6782
1953,683,38832,1,29948,77.1220
1125,47,66194,1,29941,45.2322
2952,239,149568,1,29928,20.0096
330,346,51005,1,29865,58.5531
2730,269,101964,1,29826,29.2515
2560,403,144672,1,29764,20.5734
21,701,27941,1,29683,106.2346
1507,707,113794,1,29673,26.0761
1019,403,199247,1,29665,14.8886
745,627,67110,1,29434,43.8593
1022,518,7232,1,29425,406.8722
1044,652,248672,1,29372,11.8115
2175,111,239055,1,29219,12.2227
903,363,94147,1,29166,30.9792
2563,757,73361,1,29149,39.7336
2278,620,204909,1,29134,14.2180
2324,696,84905,1,28753,33.8649
2522,628,199063,1,28637,14.3859
2126,390,39192,1,28597,72.9664
2533,52,248176,1,28327,11.4141
724,49,273193,1,28289,10.3550
1508,126,133247,1,28051,21.0519
768,876,195824,1,27942,14.2689
2416,38,239169,1,27735,11.5964
2981,574,57385,1,27727,48.3175
494,767,222840,1,27510,12.3452
1672,402,117826,1,27281,23.1536
1393,622,195554,1,27107,13.8616
2960,726,260609,1,27078,10.3903
283,202,168974,1,27063,16.0161
2348,270,31165,1,27043,86.7736
1625,489,156700,1,26742,17.0657
1169,566,99977,1,26653,26.6591
1036,430,12907,1,26590,206.0122
2056,396,25401,1,26556,104.5471
1066,911,41834,1,26286,62.8341
2833,668,141941,1,25893,18.2421
421,113,248804,1,25758,10.3527
1649,15,36824,1,25710,69.8186
2159,298,237929,1,25541,10.7347
982,251,202692,1,25081,12.3739
689,872,174845,1,25049,14.3264
1410,911,83162,1,24958,30.0113
120,214,133435,1,24869,18.6375
1166,224,54217,1,24739,45.6296
2311,354,208001,1,24686,11.8682
347,196,30606,1,24569,80.2751
2320,455,214399,1,24564,11.4571
895,423,96353,1,24417,25.3412
1054,29,43552,1,24297,55.7885
2505,990,102111,1,24229,23.7281
2144,19,169625,1,24042,14.1736
965,713,22287,1,23735,106.4971
1232,343,50106,1,23682,47.2638
1539,710,159610,1,23584,14.7760
2146,515,121045,1,23545,19.4514
1384,549,66128,1,23264,35.1803
114,555,184956,1,23193,12.5397
2463,521,124850,1,23089,18.4934
274,492,159223,1,22786,14.3107
2965,917,188257,1,22786,12.1037
2329,971,12164,1,22779,187.2657
2034,696,183078,1,22709,12.4040
558,492,98317,1,22504,22.8892
1996,994,24856,1,22221,89.3989
2389,588,104084,1,21653,20.8034
2718,110,171155,1,21470,12.5442
1129,991,157284,1,21268,13.5220
1759,329,70033,1,21175,30.2357
1167,633,183022,1,20581,11.2451
1795,974,182109,1,20181,11.0818
1429,474,14977,1,20106,134.2458
2885,283,77539,1,20089,25.9083
2252,498,29277,1,20051,68.4872
1189,899,130627,1,19963,15.2824
2139,990,40298,1,19829,49.2059
1688,553,189543,1,19657,10.3707
1875,531,107972,1,19573,18.1278
2932,535,23696,1,19449,82.0771
163,160,80594,1,19163,23.7772
1976,950,187647,1,19082,10.1691
1918,429,135851,1,18012,13.2586
506,555,142827,1,17931,12.5543
2567,199,171803,1,17795,10.3578
2186,93,8516,1,17731,208.2081
185,853,69268,1,17605,25.4158
1265,881,123590,1,17548,14.1986
1323,404,59404,1,17393,29.2792
1753,928,170087,1,17277,10.1577
2335,77,76137,1,16761,22.0143
543,71,161576,1,16689,10.3289
2755,300,64047,1,16106,25.1472
2661,18,140139,1,16094,11.4843
2377,512,91370,1,16045,17.5605
1339,639,7039,1,15792,224.3500
1306,515,96241,1,15750,16.3652
2415,283,104951,1,15266,14.5458
270,662,99625,1,15225,15.2823
2694,499,147450,1,15029,10.1926
739,218,84327,1,13926,16.5143
2333,170,71988,1,13902,19.3116
2271,538,116274,1,13818,11.8840
2138,477,55742,1,13770,24.7031
1557,927,7846,1,13626,173.6681
808,710,31941,1,12798,40.0676
362,562,28969,1,12661,43.7053
2732,213,111117,1,12520,11.2674
1854,129,66063,1,12072,18.2735
591,11,10677,1,10700,100.2154
459,474,53433,1,10366,19.4000
85,699,99700,1,10239,10.2698
73,299,30924,1,10185,32.9356
1686,843,36753,1,9564,26.0224
1183,977,75115,1,9557,12.7232
2669,82,24366,1,9313,38.2213
2857,737,55247,1,9090,16.4534
2218,372,50668,1,8733,17.2357
379,961,6085,1,8237,135.3657
2561,253,43599,1,8202,18.8124
1979,439,54332,1,7109,13.0844
1527,656,56756,1,6909,12.1732
945,3,7859,1,6650,84.6164
115,213,30145,1,6185,20.5175
2337,556,19167,1,2486,12.9702
1552,759,6834,1,2312,33.8308
